Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),year,month,trip_date,trip_day_of_week
4/2/2017,39779,130087,210915,3639,58,2017,4,2,Sunday
4/3/2017,43484,104217,211075,970,68,2017,4,3,Monday
4/4/2017,29990,63091,211171,183,23,2017,4,4,Tuesday
4/5/2017,47635,108281,211310,1192,59,2017,4,5,Wednesday
4/6/2017,18020,44411,211362,67,12,2017,4,6,Thursday
4/7/2017,35779,81358,211440,456,43,2017,4,7,Friday
4/8/2017,35936,108886,211589,2719,83,2017,4,8,Saturday
4/9/2017,43895,137240,211806,4390,114,2017,4,9,Sunday
4/10/2017,50422,124356,212050,2164,139,2017,4,10,Monday
4/11/2017,57309,150222,212298,2699,135,2017,4,11,Tuesday
4/12/2017,51188,113959,212484,1493,108,2017,4,12,Wednesday
4/13/2017,52915,131228,212648,2388,129,2017,4,13,Thursday
4/14/2017,52230,149382,212812,3451,273,2017,4,14,Friday
4/15/2017,42531,134526,212950,3981,235,2017,4,15,Saturday
4/16/2017,48137,157912,213172,6143,361,2017,4,16,Sunday
4/17/2017,53247,127619,213385,2019,234,2017,4,17,Monday
4/18/2017,53809,126129,213580,1624,194,2017,4,18,Tuesday
4/19/2017,45788,97587,213703,738,55,2017,4,19,Wednesday
4/20/2017,44260,108427,213819,1065,172,2017,4,20,Thursday
4/21/2017,39868,92348,213913,1194,129,2017,4,21,Friday
4/22/2017,34596,101444,214028,5173,102,2017,4,22,Saturday
4/23/2017,49106,142563,214278,4541,420,2017,4,23,Sunday
4/24/2017,48692,103241,214462,1143,123,2017,4,24,Monday
4/25/2017,20332,47829,214552,201,36,2017,4,25,Tuesday
4/26/2017,37727,81859,214654,595,109,2017,4,26,Wednesday
4/27/2017,52035,122394,214793,1412,266,2017,4,27,Thursday
4/28/2017,62199,163665,214965,2963,458,2017,4,28,Friday
4/29/2017,57701,180290,215219,5699,562,2017,4,29,Saturday
4/30/2017,42928,125305,215455,2921,340,2017,4,30,Sunday
5/1/2017,56218,136675,215724,1813,311,2017,5,1,Monday
5/2/2017,61205,142585,216017,1827,309,2017,5,2,Tuesday
5/3/2017,59251,141936,216239,1537,247,2017,5,3,Wednesday
5/4/2017,57428,144583,216436,1626,239,2017,5,4,Thursday
5/5/2017,24009,58278,216535,355,52,2017,5,5,Friday
5/6/2017,46616,127879,216768,3349,363,2017,5,6,Saturday
5/7/2017,34293,90625,216928,1921,196,2017,5,7,Sunday
5/8/2017,51553,114260,217147,1230,253,2017,5,8,Monday
5/9/2017,56461,118257,217341,1179,199,2017,5,9,Tuesday
5/10/2017,58452,136080,217512,1362,225,2017,5,10,Wednesday
5/11/2017,57208,135699,217673,1313,205,2017,5,11,Thursday
5/12/2017,56671,132477,217840,1784,189,2017,5,12,Friday
5/13/2017,5704,28193,217905,117,0,2017,5,13,Saturday
5/14/2017,38729,114819,218120,2664,222,2017,5,14,Sunday
5/15/2017,54715,129870,218356,1279,185,2017,5,15,Monday
5/16/2017,64504,157411,218690,1850,283,2017,5,16,Tuesday
5/17/2017,65791,153500,219023,1864,241,2017,5,17,Wednesday
5/18/2017,63753,149837,219304,1929,270,2017,5,18,Thursday
5/19/2017,62143,145832,219564,2310,275,2017,5,19,Friday
5/20/2017,47858,135405,219776,3486,251,2017,5,20,Saturday
5/21/2017,54873,160019,220097,4903,287,2017,5,21,Sunday
5/22/2017,24627,61049,220269,218,22,2017,5,22,Monday
5/23/2017,60024,139680,220513,1579,224,2017,5,23,Tuesday
5/24/2017,60621,135482,220735,1558,153,2017,5,24,Wednesday
5/25/2017,17494,50743,220840,143,27,2017,5,25,Thursday
5/26/2017,53763,133402,221049,2224,306,2017,5,26,Friday
5/27/2017,46533,145924,221271,4590,511,2017,5,27,Saturday
5/28/2017,46724,151063,221515,5229,374,2017,5,28,Sunday
5/29/2017,26321,75825,221745,1149,77,2017,5,29,Monday
5/30/2017,50192,114629,222057,962,204,2017,5,30,Tuesday
5/31/2017,59494,142097,222764,1596,197,2017,5,31,Wednesday
6/1/2017,67404,163063,222977,1957,289,2017,6,1,Thursday
6/2/2017,66905,157299,223162,2315,357,2017,6,2,Friday
6/3/2017,56263,155712,223356,4627,356,2017,6,3,Saturday
6/4/2017,40138,100571,223520,2270,103,2017,6,4,Sunday
6/5/2017,55882,123795,223719,1286,204,2017,6,5,Monday
6/6/2017,41268,86679,223834,523,89,2017,6,6,Tuesday
6/7/2017,64452,149853,223969,1536,258,2017,6,7,Wednesday
6/8/2017,62652,132716,224131,1631,266,2017,6,8,Thursday
6/9/2017,66504,156787,224289,2513,313,2017,6,9,Friday
6/10/2017,57086,150903,224455,4764,296,2017,6,10,Saturday
6/11/2017,51427,140711,224654,3941,179,2017,6,11,Sunday
6/12/2017,57870,133564,224889,1561,201,2017,6,12,Monday
6/13/2017,60920,129444,225078,1407,179,2017,6,13,Tuesday
6/14/2017,60510,137988,225231,1573,218,2017,6,14,Wednesday
6/15/2017,64761,144513,225430,1885,227,2017,6,15,Thursday
6/16/2017,56401,128201,225556,1507,177,2017,6,16,Friday
6/17/2017,34899,83755,225683,2243,209,2017,6,17,Saturday
6/18/2017,49469,138414,225864,3730,295,2017,6,18,Sunday
6/19/2017,38308,88057,226025,878,158,2017,6,19,Monday
6/20/2017,64670,146794,226220,1781,215,2017,6,20,Tuesday
6/21/2017,67215,154525,226394,1666,258,2017,6,21,Wednesday
6/22/2017,66304,158453,226589,1818,260,2017,6,22,Thursday
6/23/2017,55321,129797,226695,1585,205,2017,6,23,Friday
6/24/2017,52150,141282,226849,4277,314,2017,6,24,Saturday
6/25/2017,54645,158625,227015,4527,256,2017,6,25,Sunday
6/26/2017,62661,145321,227211,2024,297,2017,6,26,Monday
6/27/2017,64762,151112,227418,1697,229,2017,6,27,Tuesday
6/28/2017,67740,159263,227679,1893,208,2017,6,28,Wednesday
6/29/2017,64260,146419,227855,1703,210,2017,6,29,Thursday
6/30/2017,58660,132583,228047,2024,293,2017,6,30,Friday
7/1/2017,36737,107126,228157,2828,372,2017,7,1,Saturday
7/2/2017,43035,128397,228306,4314,458,2017,7,2,Sunday
7/3/2017,48193,130240,228473,3243,316,2017,7,3,Monday
7/4/2017,49924,146441,228669,4929,315,2017,7,4,Tuesday
7/5/2017,60321,149487,228908,1886,267,2017,7,5,Wednesday
7/6/2017,62147,140767,229085,1646,264,2017,7,6,Thursday
7/7/2017,44068,103656,229241,1283,216,2017,7,7,Friday
7/8/2017,55015,146438,229453,4138,333,2017,7,8,Saturday
7/9/2017,57118,159914,229680,4471,340,2017,7,9,Sunday
7/10/2017,60908,141463,229933,1546,359,2017,7,10,Monday
7/11/2017,61670,141463,230159,1269,227,2017,7,11,Tuesday
7/12/2017,61786,132874,230336,1376,179,2017,7,12,Wednesday
7/13/2017,56475,126527,230514,1322,180,2017,7,13,Thursday
7/14/2017,31851,70477,230610,570,101,2017,7,14,Friday
7/15/2017,56499,148067,230772,4761,378,2017,7,15,Saturday
7/16/2017,56833,153666,230981,4497,308,2017,7,16,Sunday
7/17/2017,62555,141323,231225,1675,289,2017,7,17,Monday
7/18/2017,66234,144623,231416,1724,243,2017,7,18,Tuesday
7/19/2017,63916,143277,231603,1617,267,2017,7,19,Wednesday
7/20/2017,59665,131871,231741,1439,229,2017,7,20,Thursday
7/21/2017,60074,136330,231882,1929,304,2017,7,21,Friday
7/22/2017,48013,124272,232049,3634,332,2017,7,22,Saturday
7/23/2017,46945,117035,232212,3164,249,2017,7,23,Sunday
7/24/2017,43793,104460,232359,989,113,2017,7,24,Monday
7/25/2017,65339,148542,232521,1549,285,2017,7,25,Tuesday
7/26/2017,70329,168603,232674,2054,248,2017,7,26,Wednesday
7/27/2017,65773,144443,232820,1666,214,2017,7,27,Thursday
7/28/2017,63911,151514,232984,2293,297,2017,7,28,Friday
7/29/2017,52955,132509,233138,4085,324,2017,7,29,Saturday
7/30/2017,59364,165423,233360,5214,376,2017,7,30,Sunday
7/31/2017,64231,153123,233614,1862,263,2017,7,31,Monday
8/1/2017,66676,147654,233824,1813,272,2017,8,1,Tuesday
8/2/2017,56179,122622,233958,3291,139,2017,8,2,Wednesday
8/3/2017,66144,146858,234160,1849,257,2017,8,3,Thursday
8/4/2017,56391,128749,234312,2212,325,2017,8,4,Friday
8/5/2017,58966,169511,234524,5299,415,2017,8,5,Saturday
8/6/2017,56473,161492,234715,4686,292,2017,8,6,Sunday
8/7/2017,23395,55927,234851,249,34,2017,8,7,Monday
8/8/2017,65228,145901,235084,1738,331,2017,8,8,Tuesday
8/9/2017,67874,170524,235283,1952,300,2017,8,9,Wednesday
8/10/2017,66245,151415,235457,1834,262,2017,8,10,Thursday
8/11/2017,63134,147098,235623,2360,358,2017,8,11,Friday
8/12/2017,60531,173581,235890,5409,405,2017,8,12,Saturday
8/13/2017,57511,162040,236098,4755,337,2017,8,13,Sunday
8/14/2017,61460,139535,236328,1816,294,2017,8,14,Monday
8/15/2017,52460,105695,236504,948,125,2017,8,15,Tuesday
8/16/2017,68434,159032,236681,1905,251,2017,8,16,Wednesday
8/17/2017,66654,156810,236872,2087,261,2017,8,17,Thursday
8/18/2017,36619,90704,236984,840,124,2017,8,18,Friday
8/19/2017,62440,186037,237324,5992,461,2017,8,19,Saturday
8/20/2017,55438,147379,237518,4218,313,2017,8,20,Sunday
8/21/2017,61055,138059,237710,1832,277,2017,8,21,Monday
8/22/2017,60541,133409,237878,1477,260,2017,8,22,Tuesday
8/23/2017,65069,141360,238057,1712,219,2017,8,23,Wednesday
8/24/2017,66306,151449,238257,1820,315,2017,8,24,Thursday
8/25/2017,64217,156344,238406,2316,325,2017,8,25,Friday
8/26/2017,50111,132832,238546,3621,214,2017,8,26,Saturday
8/27/2017,54594,145524,238771,4135,278,2017,8,27,Sunday
8/28/2017,60885,133126,239016,1616,272,2017,8,28,Monday
8/29/2017,35151,67448,239163,424,104,2017,8,29,Tuesday
8/30/2017,65328,147325,239347,1760,309,2017,8,30,Wednesday
8/31/2017,64881,144852,239519,1727,260,2017,8,31,Thursday
9/1/2017,54881,129382,239653,1775,294,2017,9,1,Friday
9/2/2017,37810,107949,239785,3359,420,2017,9,2,Saturday
9/3/2017,30955,83988,239906,2394,175,2017,9,3,Sunday
9/4/2017,55284,164623,240126,5298,362,2017,9,4,Monday
9/5/2017,65443,140362,240378,1607,265,2017,9,5,Tuesday
9/6/2017,42318,86395,240541,445,90,2017,9,6,Wednesday
9/7/2017,69571,148669,240750,1542,356,2017,9,7,Thursday
9/8/2017,69616,154397,240903,1976,322,2017,9,8,Friday
9/9/2017,60187,150847,241108,4196,272,2017,9,9,Saturday
9/10/2017,60750,154588,241329,4056,301,2017,9,10,Sunday
9/11/2017,71964,166177,241563,1992,276,2017,9,11,Monday
9/12/2017,74623,161263,241775,1737,238,2017,9,12,Tuesday
9/13/2017,69616,146802,241991,1471,199,2017,9,13,Wednesday
9/14/2017,72128,150535,242211,1551,244,2017,9,14,Thursday
9/15/2017,72361,160138,242393,2088,323,2017,9,15,Friday
9/16/2017,61077,156839,242552,4304,297,2017,9,16,Saturday
9/17/2017,60003,156834,242748,3869,229,2017,9,17,Sunday
9/18/2017,64207,138078,242968,1387,190,2017,9,18,Monday
9/19/2017,57977,115451,243128,914,146,2017,9,19,Tuesday
9/20/2017,71222,150377,243309,1385,202,2017,9,20,Wednesday
9/21/2017,67799,152463,243503,1690,191,2017,9,21,Thursday
9/22/2017,70192,163114,243715,2315,259,2017,9,22,Friday
9/23/2017,62748,165582,243967,4821,322,2017,9,23,Saturday
9/24/2017,57503,148926,244277,3681,176,2017,9,24,Sunday
9/25/2017,69271,156367,244551,1537,258,2017,9,25,Monday
9/26/2017,71566,156779,244809,1359,257,2017,9,26,Tuesday
9/27/2017,69942,147977,245051,1268,200,2017,9,27,Wednesday
9/28/2017,70951,148394,245299,1490,224,2017,9,28,Thursday
9/29/2017,67246,141709,245558,1875,288,2017,9,29,Friday
9/30/2017,50200,113613,245923,2694,214,2017,9,30,Saturday
10/1/2017,55503,139011,246193,3511,235,2017,10,1,Sunday
10/2/2017,65509,141748,246402,1408,242,2017,10,2,Monday
10/3/2017,69105,135800,246566,1258,194,2017,10,3,Tuesday
10/4/2017,71453,150324,246742,1377,188,2017,10,4,Wednesday
10/5/2017,70173,150437,246893,1365,251,2017,10,5,Thursday
10/6/2017,70249,148395,247025,2104,383,2017,10,6,Friday
10/7/2017,63630,153928,247206,4996,356,2017,10,7,Saturday
10/8/2017,41039,100790,247336,2233,192,2017,10,8,Sunday
10/9/2017,38390,78912,247453,594,84,2017,10,9,Monday
10/10/2017,74117,155978,247615,2016,312,2017,10,10,Tuesday
10/11/2017,63587,126748,247767,1146,161,2017,10,11,Wednesday
10/12/2017,61244,123433,247896,1070,169,2017,10,12,Thursday
10/13/2017,67016,136608,248038,1768,308,2017,10,13,Friday
10/14/2017,58771,142476,248167,3680,347,2017,10,14,Saturday
10/15/2017,56529,137364,248382,3381,276,2017,10,15,Sunday
10/16/2017,61729,125800,248552,997,192,2017,10,16,Monday
10/17/2017,64480,122345,248712,1030,170,2017,10,17,Tuesday
10/18/2017,70233,147842,248878,1202,249,2017,10,18,Wednesday
10/19/2017,72311,143664,249016,1491,274,2017,10,19,Thursday
10/20/2017,72174,157255,249162,2246,351,2017,10,20,Friday
10/21/2017,65872,169402,249378,5093,276,2017,10,21,Saturday
10/22/2017,62148,153444,249596,4596,200,2017,10,22,Sunday
10/23/2017,69273,143899,249825,1659,279,2017,10,23,Monday
10/24/2017,48077,95599,249930,466,82,2017,10,24,Tuesday
10/25/2017,71284,142007,250090,1133,246,2017,10,25,Wednesday
10/26/2017,64002,123419,250187,973,191,2017,10,26,Thursday
10/27/2017,69265,139481,250319,1991,352,2017,10,27,Friday
10/28/2017,61345,143571,250499,4306,317,2017,10,28,Saturday
10/29/2017,9537,20810,250556,213,8,2017,10,29,Sunday
10/30/2017,49246,95502,250681,771,121,2017,10,30,Monday
10/31/2017,60242,115329,250892,1076,166,2017,10,31,Tuesday
11/1/2017,60772,111304,250975,717,125,2017,11,1,Wednesday
11/2/2017,70810,144455,251060,1485,291,2017,11,2,Thursday
11/3/2017,71817,147055,251163,2275,335,2017,11,3,Friday
11/4/2017,53433,120119,251269,3086,243,2017,11,4,Saturday
11/5/2017,34943,76281,251349,1263,80,2017,11,5,Sunday
11/6/2017,57606,116318,251433,1052,133,2017,11,6,Monday
11/7/2017,36361,69588,251487,643,77,2017,11,7,Tuesday
11/8/2017,54211,107852,251537,597,95,2017,11,8,Wednesday
11/9/2017,58416,113119,251591,837,171,2017,11,9,Thursday
11/10/2017,38432,74794,251614,425,82,2017,11,10,Friday
11/11/2017,28142,55350,251657,832,64,2017,11,11,Saturday
11/12/2017,32471,73187,251699,1191,62,2017,11,12,Sunday
11/13/2017,38752,72112,251751,314,47,2017,11,13,Monday
11/14/2017,52278,95328,251802,493,59,2017,11,14,Tuesday
11/15/2017,54230,104590,251842,524,70,2017,11,15,Wednesday
11/16/2017,49737,93532,251884,521,74,2017,11,16,Thursday
11/17/2017,48989,93476,251928,712,74,2017,11,17,Friday
11/18/2017,27745,58136,251965,872,53,2017,11,18,Saturday
11/19/2017,31597,66078,252008,1020,64,2017,11,19,Sunday
11/20/2017,45120,85295,252041,501,49,2017,11,20,Monday
11/21/2017,52448,95288,252075,960,69,2017,11,21,Tuesday
11/22/2017,32297,69530,252103,458,64,2017,11,22,Wednesday
11/23/2017,13705,32527,252115,806,103,2017,11,23,Thursday
11/24/2017,23723,64012,252151,1129,95,2017,11,24,Friday
11/25/2017,30510,73542,252184,1995,85,2017,11,25,Saturday
11/26/2017,27180,60652,252227,904,63,2017,11,26,Sunday
11/27/2017,46732,99410,252277,553,46,2017,11,27,Monday
11/28/2017,51166,97329,252316,455,58,2017,11,28,Tuesday
11/29/2017,55290,107040,252365,638,71,2017,11,29,Wednesday
11/30/2017,51699,97110,252414,509,83,2017,11,30,Thursday
12/1/2017,50708,99868,252473,695,123,2017,12,1,Friday
12/2/2017,38922,83660,252514,1513,100,2017,12,2,Saturday
12/3/2017,33728,77915,252561,1037,66,2017,12,3,Sunday
12/4/2017,49630,92142,252618,649,63,2017,12,4,Monday
12/5/2017,41792,85008,252686,381,57,2017,12,5,Tuesday
12/6/2017,46335,87328,252724,368,55,2017,12,6,Wednesday
12/7/2017,45367,94653,252761,427,65,2017,12,7,Thursday
12/8/2017,41330,81217,252791,443,58,2017,12,8,Friday
12/9/2017,10804,20955,252811,112,15,2017,12,9,Saturday
12/10/2017,19815,43621,252830,287,26,2017,12,10,Sunday
12/11/2017,41838,81071,252869,456,38,2017,12,11,Monday
12/12/2017,42620,88499,252915,262,42,2017,12,12,Tuesday
12/13/2017,32623,60051,252942,155,20,2017,12,13,Wednesday
12/14/2017,27494,49648,252960,134,10,2017,12,14,Thursday
12/15/2017,22944,41598,252980,130,9,2017,12,15,Friday
12/16/2017,19060,38766,252992,240,24,2017,12,16,Saturday
12/17/2017,22403,49790,253011,343,27,2017,12,17,Sunday
12/18/2017,40168,79914,253054,409,34,2017,12,18,Monday
12/19/2017,49503,97301,253087,541,42,2017,12,19,Tuesday
12/20/2017,41461,78833,253142,422,40,2017,12,20,Wednesday
12/21/2017,37592,70297,253180,386,47,2017,12,21,Thursday
12/22/2017,34338,62387,253212,506,23,2017,12,22,Friday
12/23/2017,9608,24205,253228,112,10,2017,12,23,Saturday
12/24/2017,13215,37985,253250,492,39,2017,12,24,Sunday
12/25/2017,6479,26767,253293,439,27,2017,12,25,Monday
12/26/2017,14113,32919,253324,220,29,2017,12,26,Tuesday
12/27/2017,16365,31793,253346,234,33,2017,12,27,Wednesday
12/28/2017,13419,34438,253365,121,17,2017,12,28,Thursday
12/29/2017,13759,29284,253395,177,17,2017,12,29,Friday
12/30/2017,5956,13910,253407,53,10,2017,12,30,Saturday
12/31/2017,6569,18326,253443,94,2,2017,12,31,Sunday
1/1/2018,5499,11483,253490,123,7,2018,1,1,Monday
1/2/2018,18818,39352,253558,125,12,2018,1,2,Tuesday
1/3/2018,24299,42853,253591,164,4,2018,1,3,Wednesday
1/4/2018,1922,5328,253604,2,1,2018,1,4,Thursday
1/5/2018,4972,14303,253614,14,0,2018,1,5,Friday
1/6/2018,4294,9479,253624,9,2,2018,1,6,Saturday
1/7/2018,5640,9387,253640,41,4,2018,1,7,Sunday
1/8/2018,15820,31294,253661,45,4,2018,1,8,Monday
1/9/2018,25090,50981,253690,112,17,2018,1,9,Tuesday
1/10/2018,28252,50218,253720,142,18,2018,1,10,Wednesday
1/11/2018,33961,66584,253757,244,15,2018,1,11,Thursday
1/12/2018,22252,46403,253786,152,16,2018,1,12,Friday
1/13/2018,17758,30418,253809,355,31,2018,1,13,Saturday
1/14/2018,12394,32949,253827,183,9,2018,1,14,Sunday
1/15/2018,17637,41770,253857,150,8,2018,1,15,Monday
1/16/2018,30278,60053,253895,189,13,2018,1,16,Tuesday
1/17/2018,19010,36319,253921,52,12,2018,1,17,Wednesday
1/18/2018,27662,52573,253952,92,18,2018,1,18,Thursday
1/19/2018,30525,50322,253983,216,15,2018,1,19,Friday
1/20/2018,28507,59336,254025,1044,41,2018,1,20,Saturday
1/21/2018,27908,61571,254092,1013,26,2018,1,21,Sunday
1/22/2018,36864,68638,254144,345,25,2018,1,22,Monday
1/23/2018,28796,63693,254191,179,19,2018,1,23,Tuesday
1/24/2018,36078,69596,254236,232,32,2018,1,24,Wednesday
1/25/2018,31147,51927,254263,181,16,2018,1,25,Thursday
1/26/2018,33073,61857,254301,313,23,2018,1,26,Friday
1/27/2018,34348,70146,254368,1415,41,2018,1,27,Saturday
1/28/2018,20100,38221,254415,334,22,2018,1,28,Sunday
1/29/2018,36799,68868,254466,274,33,2018,1,29,Monday
1/30/2018,27996,59260,254492,114,15,2018,1,30,Tuesday
1/31/2018,31276,54440,254539,141,19,2018,1,31,Wednesday
2/1/2018,35561,66984,254590,212,27,2018,2,1,Thursday
2/2/2018,26313,50427,254620,129,18,2018,2,2,Friday
2/3/2018,18385,40020,254640,263,23,2018,2,3,Saturday
2/4/2018,13959,35121,254670,224,7,2018,2,4,Sunday
2/5/2018,29068,56061,254725,193,21,2018,2,5,Monday
2/6/2018,34102,68060,254760,160,18,2018,2,6,Tuesday
2/7/2018,15289,31573,254781,30,4,2018,2,7,Wednesday
2/8/2018,31563,60985,254806,168,20,2018,2,8,Thursday
2/9/2018,31567,57070,254833,223,25,2018,2,9,Friday
2/10/2018,16323,37641,254857,343,26,2018,2,10,Saturday
2/11/2018,8809,21167,254877,85,2,2018,2,11,Sunday
2/12/2018,35138,68283,254922,339,40,2018,2,12,Monday
2/13/2018,35189,69420,254968,252,31,2018,2,13,Tuesday
2/14/2018,39591,80081,255002,408,39,2018,2,14,Wednesday
2/15/2018,44193,88474,255044,501,28,2018,2,15,Thursday
2/16/2018,29191,57219,255088,316,37,2018,2,16,Friday
2/17/2018,17921,38834,255118,537,51,2018,2,17,Saturday
2/18/2018,21537,50512,255151,938,40,2018,2,18,Sunday
2/19/2018,25677,62150,255217,553,50,2018,2,19,Monday
2/20/2018,44478,98129,255306,906,85,2018,2,20,Tuesday
2/21/2018,53110,118306,255430,1596,77,2018,2,21,Wednesday
2/22/2018,27010,54857,255485,147,18,2018,2,22,Thursday
2/23/2018,25633,49639,255534,165,22,2018,2,23,Friday
2/24/2018,25550,61251,255597,956,51,2018,2,24,Saturday
2/25/2018,16149,34052,255654,231,18,2018,2,25,Sunday
2/26/2018,42570,84614,255747,448,54,2018,2,26,Monday
2/27/2018,48514,107682,255836,664,48,2018,2,27,Tuesday
